Connecting to host 10.223.62.39, port 5201
[  4] local 10.223.61.37 port 52934 connected to 10.223.62.39 port 5201
[  4] 9856.00-9857.00 sec  1.90 MBytes  15.9 Mbits/sec   13   69.3 KBytes       
[  4] 9857.00-9858.00 sec  2.38 MBytes  19.9 Mbits/sec    2   69.3 KBytes       
[  4] 9858.00-9859.00 sec  2.14 MBytes  17.9 Mbits/sec   10   62.2 KBytes       
[  4] 9859.00-9860.00 sec  1.84 MBytes  15.4 Mbits/sec    1   62.2 KBytes       
[  4] 9860.00-9861.00 sec  2.08 MBytes  17.4 Mbits/sec    0   83.4 KBytes       
[  4] 9861.00-9862.00 sec  2.14 MBytes  17.9 Mbits/sec    1    100 KBytes       
[  4] 9862.00-9863.00 sec  2.02 MBytes  16.9 Mbits/sec   12   84.8 KBytes       
[  4] 9863.00-9864.00 sec  2.02 MBytes  16.9 Mbits/sec    0    100 KBytes       
[  4] 9864.00-9865.00 sec  2.14 MBytes  17.9 Mbits/sec    0    116 KBytes       
[  4] 9865.00-9866.00 sec  1.96 MBytes  16.4 Mbits/sec   15   72.1 KBytes       
[  4] 9866.00-9867.00 sec  2.26 MBytes  18.9 Mbits/sec    0   91.9 KBytes       
[  4] 9867.00-9868.00 sec  2.08 MBytes  17.4 Mbits/sec    2    107 KBytes       
[  4] 9868.00-9869.00 sec  1.84 MBytes  15.4 Mbits/sec    3   83.4 KBytes       
[  4] 9869.00-9870.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 9870.00-9871.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 9871.00-9872.00 sec  1.25 MBytes  10.5 Mbits/sec   15   76.4 KBytes       
[  4] 9872.00-9873.00 sec  2.08 MBytes  17.4 Mbits/sec    0   93.3 KBytes       
[  4] 9873.00-9874.00 sec  2.43 MBytes  20.4 Mbits/sec    4   62.2 KBytes       
[  4] 9874.00-9875.00 sec  2.38 MBytes  19.9 Mbits/sec    3   59.4 KBytes       
[  4] 9875.00-9876.00 sec  1.48 MBytes  12.5 Mbits/sec    4   60.8 KBytes       
[  4] 9876.00-9877.00 sec  1.78 MBytes  14.9 Mbits/sec    0   79.2 KBytes       
[  4] 9877.00-9878.00 sec  2.08 MBytes  17.4 Mbits/sec    1   69.3 KBytes       
[  4] 9878.00-9879.00 sec  2.26 MBytes  18.9 Mbits/sec    4   60.8 KBytes       
[  4] 9879.00-9880.00 sec  2.26 MBytes  18.9 Mbits/sec    1   83.4 KBytes       
[  4] 9880.00-9881.00 sec  2.08 MBytes  17.4 Mbits/sec    6   72.1 KBytes       
[  4] 9881.00-9882.00 sec  2.14 MBytes  17.9 Mbits/sec    1   65.0 KBytes       
[  4] 9882.00-9883.00 sec  1.84 MBytes  15.4 Mbits/sec    1   83.4 KBytes       
[  4] 9883.00-9884.00 sec  1.78 MBytes  14.9 Mbits/sec    2   53.7 KBytes       
[  4] 9884.00-9885.00 sec  1.84 MBytes  15.4 Mbits/sec    0   74.9 KBytes       
[  4] 9885.00-9886.00 sec  1.84 MBytes  15.4 Mbits/sec    1   87.7 KBytes       
[  4] 9886.00-9887.00 sec  2.26 MBytes  18.9 Mbits/sec    6   74.9 KBytes       
[  4] 9887.00-9888.00 sec  2.08 MBytes  17.4 Mbits/sec    0   93.3 KBytes       
[  4] 9888.00-9889.00 sec  2.08 MBytes  17.4 Mbits/sec   13   67.9 KBytes       
[  4] 9889.00-9890.00 sec  2.08 MBytes  17.4 Mbits/sec    0   87.7 KBytes       
[  4] 9890.00-9891.00 sec  1.90 MBytes  15.9 Mbits/sec    1    102 KBytes       
[  4] 9891.00-9892.00 sec  2.08 MBytes  17.4 Mbits/sec    0    116 KBytes       
[  4] 9892.00-9893.00 sec  1.31 MBytes  11.0 Mbits/sec    3    123 KBytes       
[  4] 9893.00-9894.00 sec  2.02 MBytes  16.9 Mbits/sec    0    134 KBytes       
[  4] 9894.00-9895.00 sec  1.84 MBytes  15.4 Mbits/sec   13    102 KBytes       
[  4] 9895.00-9896.00 sec  1.66 MBytes  13.9 Mbits/sec    3   83.4 KBytes       
[  4] 9896.00-9897.00 sec   243 KBytes  1.99 Mbits/sec   53   33.9 KBytes       
[  4] 9897.00-9898.00 sec  1.01 MBytes  8.47 Mbits/sec    4   39.6 KBytes       
[  4] 9898.00-9899.00 sec  1.01 MBytes  8.47 Mbits/sec    0   53.7 KBytes       
[  4] 9899.00-9900.00 sec  1.66 MBytes  14.0 Mbits/sec    0   73.5 KBytes       
[  4] 9900.00-9901.00 sec  2.08 MBytes  17.4 Mbits/sec    1   90.5 KBytes       
[  4] 9901.00-9902.00 sec  1.90 MBytes  15.9 Mbits/sec    8   58.0 KBytes       
[  4] 9902.00-9903.00 sec  1.96 MBytes  16.4 Mbits/sec    6   73.5 KBytes       
[  4] 9903.00-9904.00 sec  2.08 MBytes  17.4 Mbits/sec    2   73.5 KBytes       
[  4] 9904.00-9905.00 sec  2.20 MBytes  18.4 Mbits/sec    6   72.1 KBytes       
[  4] 9905.00-9906.00 sec  2.08 MBytes  17.4 Mbits/sec    0   91.9 KBytes       
[  4] 9906.00-9907.00 sec  2.32 MBytes  19.4 Mbits/sec    5   80.6 KBytes       
[  4] 9907.00-9908.00 sec  2.38 MBytes  19.9 Mbits/sec    1   99.0 KBytes       
[  4] 9908.00-9909.00 sec  2.08 MBytes  17.4 Mbits/sec    1    110 KBytes       
[  4] 9909.00-9910.00 sec  1.78 MBytes  14.9 Mbits/sec    2   91.9 KBytes       
[  4] 9910.00-9911.00 sec  1.90 MBytes  15.9 Mbits/sec    3    102 KBytes       
[  4] 9911.00-9912.00 sec  1.78 MBytes  14.9 Mbits/sec    1    115 KBytes       
[  4] 9912.00-9913.00 sec  2.02 MBytes  16.9 Mbits/sec    1   91.9 KBytes       
[  4] 9913.00-9914.00 sec  2.02 MBytes  16.9 Mbits/sec   14   76.4 KBytes       
[  4] 9914.00-9915.00 sec  2.02 MBytes  16.9 Mbits/sec    0   96.2 KBytes       
[  4] 9915.00-9916.00 sec  2.32 MBytes  19.4 Mbits/sec    2    110 KBytes       
[  4] 9916.00-9917.00 sec  1.43 MBytes  12.0 Mbits/sec   48   62.2 KBytes       
[  4] 9917.00-9918.00 sec  1.31 MBytes  11.0 Mbits/sec    1   58.0 KBytes       
[  4] 9918.00-9919.00 sec  1.66 MBytes  14.0 Mbits/sec    0   76.4 KBytes       
[  4] 9919.00-9920.00 sec  1.84 MBytes  15.4 Mbits/sec    0   93.3 KBytes       
[  4] 9920.00-9921.00 sec  1.54 MBytes  13.0 Mbits/sec    0    106 KBytes       
[  4] 9921.00-9922.00 sec  1.72 MBytes  14.4 Mbits/sec    2   89.1 KBytes       
[  4] 9922.00-9923.00 sec  1.60 MBytes  13.4 Mbits/sec    1    102 KBytes       
[  4] 9923.00-9924.00 sec  1.48 MBytes  12.5 Mbits/sec   10   28.3 KBytes       
[  4] 9924.00-9925.00 sec  2.14 MBytes  17.9 Mbits/sec   31   49.5 KBytes       
[  4] 9925.00-9926.00 sec  2.20 MBytes  18.4 Mbits/sec    0   76.4 KBytes       
[  4] 9926.00-9927.00 sec  1.54 MBytes  12.9 Mbits/sec   49   48.1 KBytes       
[  4] 9927.00-9928.00 sec  2.02 MBytes  16.9 Mbits/sec    1   66.5 KBytes       
[  4] 9928.00-9929.00 sec  2.08 MBytes  17.4 Mbits/sec    0   73.5 KBytes       
[  4] 9929.00-9930.00 sec  2.32 MBytes  19.4 Mbits/sec    0   94.7 KBytes       
[  4] 9930.00-9931.00 sec  2.14 MBytes  17.9 Mbits/sec    2   74.9 KBytes       
[  4] 9931.00-9932.00 sec  2.14 MBytes  17.9 Mbits/sec    2   90.5 KBytes       
[  4] 9932.00-9933.00 sec  2.08 MBytes  17.4 Mbits/sec    7   55.1 KBytes       
[  4] 9933.00-9934.00 sec   973 KBytes  7.97 Mbits/sec    4   53.7 KBytes       
[  4] 9934.00-9935.00 sec   851 KBytes  6.97 Mbits/sec   21   52.3 KBytes       
[  4] 9935.00-9936.00 sec  2.08 MBytes  17.4 Mbits/sec    0   77.8 KBytes       
[  4] 9936.00-9937.00 sec  1.84 MBytes  15.4 Mbits/sec   13   65.0 KBytes       
[  4] 9937.00-9938.00 sec  2.14 MBytes  17.9 Mbits/sec    3   60.8 KBytes       
[  4] 9938.00-9939.00 sec  2.38 MBytes  19.9 Mbits/sec    9   60.8 KBytes       
[  4] 9939.00-9940.00 sec  2.08 MBytes  17.4 Mbits/sec    2   55.1 KBytes       
[  4] 9940.00-9941.00 sec   304 KBytes  2.49 Mbits/sec   39   42.4 KBytes       
[  4] 9941.00-9942.00 sec  1.31 MBytes  11.0 Mbits/sec    0   60.8 KBytes       
[  4] 9942.00-9943.00 sec  1.78 MBytes  14.9 Mbits/sec    0   80.6 KBytes       
[  4] 9943.00-9944.00 sec  1.60 MBytes  13.5 Mbits/sec    4   67.9 KBytes       
[  4] 9944.00-9945.00 sec  2.14 MBytes  17.9 Mbits/sec    3   59.4 KBytes       
[  4] 9945.00-9946.00 sec  2.20 MBytes  18.4 Mbits/sec    2   67.9 KBytes       
[  4] 9946.00-9947.00 sec  2.26 MBytes  18.9 Mbits/sec    2   80.6 KBytes       
[  4] 9947.00-9948.00 sec  2.14 MBytes  17.9 Mbits/sec   13   67.9 KBytes       
[  4] 9948.00-9949.00 sec  2.20 MBytes  18.4 Mbits/sec    0   89.1 KBytes       
[  4] 9949.00-9950.00 sec  2.14 MBytes  17.9 Mbits/sec    6   77.8 KBytes       
[  4] 9950.00-9951.00 sec  2.20 MBytes  18.4 Mbits/sec   13   66.5 KBytes       
[  4] 9951.00-9952.00 sec  2.26 MBytes  18.9 Mbits/sec    1   63.6 KBytes       
[  4] 9952.00-9953.00 sec  2.20 MBytes  18.4 Mbits/sec    0   86.3 KBytes       
[  4] 9953.00-9954.00 sec  1.96 MBytes  16.4 Mbits/sec    1    100 KBytes       
[  4] 9954.00-9955.00 sec  2.08 MBytes  17.4 Mbits/sec    1   55.1 KBytes       
[  4] 9955.00-9956.00 sec  2.14 MBytes  17.9 Mbits/sec    0    100 KBytes       
[  4] 9956.00-9957.00 sec  1.84 MBytes  15.4 Mbits/sec    1    112 KBytes       
[  4] 9957.00-9958.00 sec  2.08 MBytes  17.4 Mbits/sec    1   96.2 KBytes       
[  4] 9958.00-9959.00 sec  1.66 MBytes  13.9 Mbits/sec    9   79.2 KBytes       
[  4] 9959.00-9960.00 sec  1.84 MBytes  15.4 Mbits/sec    6   70.7 KBytes       
[  4] 9960.00-9961.00 sec  1.78 MBytes  14.9 Mbits/sec    4   48.1 KBytes       
[  4] 9961.00-9962.00 sec  2.02 MBytes  16.9 Mbits/sec    0   73.5 KBytes       
[  4] 9962.00-9963.00 sec  2.20 MBytes  18.4 Mbits/sec    0   93.3 KBytes       
[  4] 9963.00-9964.00 sec  2.26 MBytes  18.9 Mbits/sec    1    109 KBytes       
[  4] 9964.00-9965.00 sec  1.90 MBytes  15.9 Mbits/sec    0    122 KBytes       
[  4] 9965.00-9966.00 sec  2.26 MBytes  18.9 Mbits/sec    2    126 KBytes       
[  4] 9966.00-9967.00 sec  1.54 MBytes  12.9 Mbits/sec   10   1.41 KBytes       
[  4] 9967.00-9968.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 9968.00-9969.00 sec  0.00 Bytes  0.00 bits/sec    1    136 KBytes       
[  4] 9969.00-9970.00 sec  1.72 MBytes  14.5 Mbits/sec   64   53.7 KBytes       
[  4] 9970.00-9971.00 sec  1.90 MBytes  15.9 Mbits/sec    0   76.4 KBytes       
[  4] 9971.00-9972.00 sec  2.08 MBytes  17.4 Mbits/sec    1   93.3 KBytes       
[  4] 9972.00-9973.00 sec  1.54 MBytes  12.9 Mbits/sec   14   72.1 KBytes       
[  4] 9973.00-9974.00 sec  1.72 MBytes  14.4 Mbits/sec    0   90.5 KBytes       
[  4] 9974.00-9975.00 sec  1.66 MBytes  14.0 Mbits/sec    2   53.7 KBytes       
[  4] 9975.00-9976.00 sec  1.60 MBytes  13.4 Mbits/sec    2   72.1 KBytes       
[  4] 9976.00-9977.00 sec  1.96 MBytes  16.4 Mbits/sec    0   90.5 KBytes       
[  4] 9977.00-9978.00 sec  2.08 MBytes  17.4 Mbits/sec    3   73.5 KBytes       
[  4] 9978.00-9979.00 sec  2.20 MBytes  18.4 Mbits/sec    0   96.2 KBytes       
[  4] 9979.00-9980.00 sec  1.66 MBytes  13.9 Mbits/sec    1   99.0 KBytes       
[  4] 9980.00-9981.00 sec  2.26 MBytes  18.9 Mbits/sec    0   94.7 KBytes       
[  4] 9981.00-9982.00 sec  2.43 MBytes  20.4 Mbits/sec    2   80.6 KBytes       
[  4] 9982.00-9983.00 sec   426 KBytes  3.48 Mbits/sec    1   1.41 KBytes       
[  4] 9983.00-9984.00 sec   912 KBytes  7.48 Mbits/sec   63   70.7 KBytes       
[  4] 9984.00-9985.00 sec   912 KBytes  7.47 Mbits/sec    1   58.0 KBytes       
[  4] 9985.00-9986.00 sec  1.07 MBytes  8.96 Mbits/sec    1   69.3 KBytes       
[  4] 9986.00-9987.00 sec   973 KBytes  7.97 Mbits/sec    2   42.4 KBytes       
[  4] 9987.00-9988.00 sec  1.13 MBytes  9.46 Mbits/sec    2   38.2 KBytes       
[  4] 9988.00-9989.00 sec  1.01 MBytes  8.47 Mbits/sec    0   56.6 KBytes       
[  4] 9989.00-9990.00 sec  1.01 MBytes  8.47 Mbits/sec    1   66.5 KBytes       
[  4] 9990.00-9991.00 sec  1.01 MBytes  8.47 Mbits/sec    2   56.6 KBytes       
[  4] 9991.00-9992.00 sec  1.07 MBytes  8.97 Mbits/sec    0   69.3 KBytes       
[  4] 9992.00-9993.00 sec  1.37 MBytes  11.5 Mbits/sec    2   60.8 KBytes       
[  4] 9993.00-9994.00 sec  1.78 MBytes  14.9 Mbits/sec    0   80.6 KBytes       
[  4] 9994.00-9995.00 sec  1.96 MBytes  16.4 Mbits/sec    1   96.2 KBytes       
[  4] 9995.00-9996.00 sec  1.78 MBytes  14.9 Mbits/sec    1   79.2 KBytes       
[  4] 9996.00-9997.00 sec  1.96 MBytes  16.4 Mbits/sec    1   72.1 KBytes       
[  4] 9997.00-9998.00 sec  2.26 MBytes  18.9 Mbits/sec    0   93.3 KBytes       
[  4] 9998.00-9999.00 sec  2.43 MBytes  20.4 Mbits/sec    0    110 KBytes       
[  4] 9999.00-10000.00 sec  1.66 MBytes  13.9 Mbits/sec   12   94.7 KBytes       
[  4] 10000.00-10001.00 sec  1.78 MBytes  14.9 Mbits/sec    4   60.8 KBytes       
[  4] 10001.00-10002.00 sec  2.08 MBytes  17.4 Mbits/sec    0   82.0 KBytes       
[  4] 10002.00-10003.00 sec  2.08 MBytes  17.4 Mbits/sec    0    100 KBytes       
[  4] 10003.00-10004.00 sec  1.96 MBytes  16.4 Mbits/sec    4   83.4 KBytes       
[  4] 10004.00-10005.00 sec  2.26 MBytes  18.9 Mbits/sec    3   67.9 KBytes       
[  4] 10005.00-10006.00 sec  2.08 MBytes  17.4 Mbits/sec    2   62.2 KBytes       
[  4] 10006.00-10007.00 sec  1.72 MBytes  14.4 Mbits/sec    8   55.1 KBytes       
[  4] 10007.00-10008.00 sec  2.26 MBytes  18.9 Mbits/sec    0   79.2 KBytes       
[  4] 10008.00-10009.00 sec  2.20 MBytes  18.4 Mbits/sec    0   97.6 KBytes       
[  4] 10009.00-10010.00 sec  1.90 MBytes  15.9 Mbits/sec    1   84.8 KBytes       
[  4] 10010.00-10011.00 sec  2.20 MBytes  18.4 Mbits/sec    4   79.2 KBytes       
[  4] 10011.00-10012.00 sec  2.14 MBytes  17.9 Mbits/sec    0   99.0 KBytes       
[  4] 10012.00-10013.00 sec  2.32 MBytes  19.4 Mbits/sec   10   58.0 KBytes       
[  4] 10013.00-10014.00 sec  2.26 MBytes  18.9 Mbits/sec    2   77.8 KBytes       
[  4] 10014.00-10015.00 sec  2.08 MBytes  17.4 Mbits/sec   11   49.5 KBytes       
[  4] 10015.00-10016.00 sec  2.43 MBytes  20.4 Mbits/sec    1   87.7 KBytes       
[  4] 10016.00-10017.00 sec  2.02 MBytes  16.9 Mbits/sec    1    102 KBytes       
[  4] 10017.00-10018.00 sec  2.14 MBytes  17.9 Mbits/sec    2    115 KBytes       
[  4] 10018.00-10019.00 sec  2.43 MBytes  20.4 Mbits/sec   13   96.2 KBytes       
[  4] 10019.00-10020.00 sec  2.43 MBytes  20.4 Mbits/sec    1   76.4 KBytes       
[  4] 10020.00-10021.00 sec  2.20 MBytes  18.4 Mbits/sec    1   90.5 KBytes       
[  4] 10021.00-10022.00 sec  2.26 MBytes  18.9 Mbits/sec   10   73.5 KBytes       
[  4] 10022.00-10023.00 sec  2.55 MBytes  21.4 Mbits/sec    4   67.9 KBytes       
[  4] 10023.00-10024.00 sec  1.96 MBytes  16.4 Mbits/sec    0   87.7 KBytes       
[  4] 10024.00-10025.00 sec  1.96 MBytes  16.4 Mbits/sec    2    100 KBytes       
[  4] 10025.00-10026.00 sec  2.02 MBytes  16.9 Mbits/sec    1   65.0 KBytes       
[  4] 10026.00-10027.00 sec  2.20 MBytes  18.4 Mbits/sec   21   70.7 KBytes       
[  4] 10027.00-10028.00 sec  2.08 MBytes  17.4 Mbits/sec    0   90.5 KBytes       
[  4] 10028.00-10029.00 sec  1.90 MBytes  15.9 Mbits/sec    0    105 KBytes       
[  4] 10029.00-10030.00 sec  2.14 MBytes  17.9 Mbits/sec    1    119 KBytes       
[  4] 10030.00-10031.00 sec  1.66 MBytes  13.9 Mbits/sec    2    126 KBytes       
[  4] 10031.00-10032.00 sec  2.20 MBytes  18.4 Mbits/sec    6   96.2 KBytes       
[  4] 10032.00-10033.00 sec  1.96 MBytes  16.4 Mbits/sec    5   80.6 KBytes       
[  4] 10033.00-10034.00 sec  2.14 MBytes  17.9 Mbits/sec    2   72.1 KBytes       
[  4] 10034.00-10035.00 sec  1.96 MBytes  16.4 Mbits/sec    2   83.4 KBytes       
[  4] 10035.00-10036.00 sec  1.78 MBytes  14.9 Mbits/sec    9   72.1 KBytes       
[  4] 10036.00-10037.00 sec  2.26 MBytes  18.9 Mbits/sec    5   66.5 KBytes       
[  4] 10037.00-10038.00 sec  2.14 MBytes  17.9 Mbits/sec    7   62.2 KBytes       
[  4] 10038.00-10039.00 sec  2.14 MBytes  17.9 Mbits/sec    7   59.4 KBytes       
[  4] 10039.00-10040.00 sec  2.02 MBytes  16.9 Mbits/sec    0   82.0 KBytes       
[  4] 10040.00-10041.00 sec  2.02 MBytes  16.9 Mbits/sec    0   97.6 KBytes       
[  4] 10041.00-10042.00 sec  1.90 MBytes  15.9 Mbits/sec    0    112 KBytes       
[  4] 10042.00-10043.00 sec  1.90 MBytes  15.9 Mbits/sec   18   89.1 KBytes       
[  4] 10043.00-10044.00 sec  1.72 MBytes  14.4 Mbits/sec    5   74.9 KBytes       
[  4] 10044.00-10045.00 sec  1.48 MBytes  12.5 Mbits/sec    3   66.5 KBytes       
[  4] 10045.00-10046.00 sec  1.66 MBytes  13.9 Mbits/sec    3   56.6 KBytes       
[  4] 10046.00-10047.00 sec   912 KBytes  7.47 Mbits/sec    2   1.41 KBytes       
[  4] 10047.00-10048.00 sec  1.72 MBytes  14.4 Mbits/sec    0    140 KBytes       
[  4] 10048.00-10049.00 sec  2.14 MBytes  17.9 Mbits/sec   17   86.3 KBytes       
[  4] 10049.00-10050.00 sec  1.84 MBytes  15.4 Mbits/sec   13   70.7 KBytes       
[  4] 10050.00-10051.00 sec  2.38 MBytes  19.9 Mbits/sec    5   72.1 KBytes       
[  4] 10051.00-10052.00 sec  2.32 MBytes  19.4 Mbits/sec    2   73.5 KBytes       
[  4] 10052.00-10053.00 sec  2.32 MBytes  19.4 Mbits/sec    1   93.3 KBytes       
[  4] 10053.00-10054.00 sec  1.72 MBytes  14.4 Mbits/sec    2    105 KBytes       
[  4] 10054.00-10055.00 sec  1.96 MBytes  16.4 Mbits/sec    0    117 KBytes       
[  4] 10055.00-10056.00 sec  1.60 MBytes  13.5 Mbits/sec    4   52.3 KBytes       
[  4] 10056.00-10057.00 sec  1.66 MBytes  13.9 Mbits/sec    0   73.5 KBytes       
[  4] 10057.00-10058.00 sec  1.90 MBytes  15.9 Mbits/sec    0   90.5 KBytes       
[  4] 10058.00-10059.00 sec  1.84 MBytes  15.4 Mbits/sec    0    105 KBytes       
[  4] 10059.00-10060.00 sec  1.96 MBytes  16.4 Mbits/sec   12   65.0 KBytes       
[  4] 10060.00-10061.00 sec  1.54 MBytes  13.0 Mbits/sec    9   70.7 KBytes       
[  4] 10061.00-10062.00 sec  2.14 MBytes  17.9 Mbits/sec    0   91.9 KBytes       
[  4] 10062.00-10063.00 sec  2.55 MBytes  21.4 Mbits/sec    0    110 KBytes       
[  4] 10063.00-10064.00 sec  1.96 MBytes  16.4 Mbits/sec    6   65.0 KBytes       
[  4] 10064.00-10065.00 sec  2.08 MBytes  17.4 Mbits/sec    2   60.8 KBytes       
[  4] 10065.00-10066.00 sec  2.08 MBytes  17.4 Mbits/sec    0   82.0 KBytes       
[  4] 10066.00-10067.00 sec  1.78 MBytes  14.9 Mbits/sec    6   73.5 KBytes       
[  4] 10067.00-10068.00 sec  1.78 MBytes  14.9 Mbits/sec    1   89.1 KBytes       
[  4] 10068.00-10069.00 sec  1.84 MBytes  15.4 Mbits/sec    2    100 KBytes       
[  4] 10069.00-10070.00 sec  1.84 MBytes  15.4 Mbits/sec    0    115 KBytes       
[  4] 10070.00-10071.00 sec  2.02 MBytes  16.9 Mbits/sec    4   89.1 KBytes       
[  4] 10071.00-10072.00 sec  1.84 MBytes  15.4 Mbits/sec    0    110 KBytes       
[  4] 10072.00-10073.00 sec  2.20 MBytes  18.4 Mbits/sec    0    120 KBytes       
[  4] 10073.00-10074.00 sec  2.08 MBytes  17.4 Mbits/sec    0    127 KBytes       
[  4] 10074.00-10075.00 sec  1.84 MBytes  15.4 Mbits/sec    0    100 KBytes       
[  4] 10075.00-10076.00 sec  1.78 MBytes  14.9 Mbits/sec    6   76.4 KBytes       
[  4] 10076.00-10077.00 sec  2.14 MBytes  17.9 Mbits/sec    4   74.9 KBytes       
[  4] 10077.00-10078.00 sec  1.54 MBytes  12.9 Mbits/sec    1   87.7 KBytes       
[  4] 10078.00-10079.00 sec  1.78 MBytes  14.9 Mbits/sec    2    106 KBytes       
[  4] 10079.00-10080.00 sec  1.84 MBytes  15.4 Mbits/sec    0    106 KBytes       
[  4] 10080.00-10081.00 sec  2.08 MBytes  17.4 Mbits/sec    0    110 KBytes       
[  4] 10081.00-10082.00 sec  2.02 MBytes  16.9 Mbits/sec    4   41.0 KBytes       
[  4] 10082.00-10083.00 sec  2.08 MBytes  17.4 Mbits/sec    0   79.2 KBytes       
[  4] 10083.00-10084.00 sec  2.14 MBytes  17.9 Mbits/sec    1    100 KBytes       
[  4] 10084.00-10085.00 sec  1.66 MBytes  13.9 Mbits/sec    9   80.6 KBytes       
[  4] 10085.00-10086.00 sec  1.72 MBytes  14.4 Mbits/sec    0   99.0 KBytes       
[  4] 10086.00-10087.00 sec  1.66 MBytes  13.9 Mbits/sec   13   83.4 KBytes       
[  4] 10087.00-10088.00 sec  2.08 MBytes  17.4 Mbits/sec   10   73.5 KBytes       
[  4] 10088.00-10089.00 sec  2.20 MBytes  18.4 Mbits/sec    0   93.3 KBytes       
[  4] 10089.00-10090.00 sec  2.20 MBytes  18.4 Mbits/sec    0    109 KBytes       
[  4] 10090.00-10091.00 sec  1.90 MBytes  15.9 Mbits/sec    0    122 KBytes       
[  4] 10091.00-10092.00 sec  2.02 MBytes  16.9 Mbits/sec   10   94.7 KBytes       
[  4] 10092.00-10093.00 sec  2.26 MBytes  18.9 Mbits/sec    2   84.8 KBytes       
[  4] 10093.00-10094.00 sec  2.38 MBytes  19.9 Mbits/sec    7   76.4 KBytes       
[  4] 10094.00-10095.00 sec  2.14 MBytes  17.9 Mbits/sec    0   94.7 KBytes       
[  4] 10095.00-10096.00 sec   790 KBytes  6.48 Mbits/sec    6   80.6 KBytes       
[  4] 10096.00-10097.00 sec  1.96 MBytes  16.4 Mbits/sec   11   89.1 KBytes       
[  4] 10097.00-10098.00 sec  1.96 MBytes  16.4 Mbits/sec    1   90.5 KBytes       
[  4] 10098.00-10099.00 sec  2.26 MBytes  18.9 Mbits/sec    7   76.4 KBytes       
[  4] 10099.00-10100.00 sec  2.20 MBytes  18.4 Mbits/sec    1   76.4 KBytes       
[  4] 10100.00-10101.00 sec  2.26 MBytes  18.9 Mbits/sec    0   97.6 KBytes       
[  4] 10101.00-10102.00 sec  1.66 MBytes  13.9 Mbits/sec    0    109 KBytes       
[  4] 10102.00-10103.00 sec  1.66 MBytes  13.9 Mbits/sec    1   67.9 KBytes       
[  4] 10103.00-10104.00 sec  1.60 MBytes  13.4 Mbits/sec    0   91.9 KBytes       
[  4] 10104.00-10105.00 sec  1.48 MBytes  12.5 Mbits/sec    2    102 KBytes       
[  4] 10105.00-10106.00 sec  1.43 MBytes  12.0 Mbits/sec    1   86.3 KBytes       
[  4] 10106.00-10107.00 sec  1.54 MBytes  12.9 Mbits/sec    0   99.0 KBytes       
[  4] 10107.00-10108.00 sec  1.66 MBytes  13.9 Mbits/sec    1    105 KBytes       
[  4] 10108.00-10109.00 sec  1.72 MBytes  14.4 Mbits/sec    0    116 KBytes       
[  4] 10109.00-10110.00 sec  2.14 MBytes  17.9 Mbits/sec    5   91.9 KBytes       
[  4] 10110.00-10111.00 sec  2.14 MBytes  17.9 Mbits/sec   12   82.0 KBytes       
[  4] 10111.00-10112.00 sec  2.02 MBytes  16.9 Mbits/sec    1   93.3 KBytes       
[  4] 10112.00-10113.00 sec  2.08 MBytes  17.4 Mbits/sec    1   94.7 KBytes       
[  4] 10113.00-10114.00 sec  1.84 MBytes  15.4 Mbits/sec    0    107 KBytes       
[  4] 10114.00-10115.00 sec  2.20 MBytes  18.4 Mbits/sec    0    123 KBytes       
[  4] 10115.00-10116.00 sec  1.72 MBytes  14.4 Mbits/sec    4    103 KBytes       
[  4] 10116.00-10117.00 sec  2.08 MBytes  17.4 Mbits/sec    0    117 KBytes       
[  4] 10117.00-10118.00 sec  2.32 MBytes  19.4 Mbits/sec    1   96.2 KBytes       
[  4] 10118.00-10119.00 sec  2.26 MBytes  18.9 Mbits/sec    1    112 KBytes       
[  4] 10119.00-10120.00 sec  2.02 MBytes  16.9 Mbits/sec    1    122 KBytes       
[  4] 10120.00-10121.00 sec  2.26 MBytes  18.9 Mbits/sec    9   73.5 KBytes       
[  4] 10121.00-10122.00 sec  1.96 MBytes  16.4 Mbits/sec    0   91.9 KBytes       
[  4] 10122.00-10123.00 sec  2.32 MBytes  19.4 Mbits/sec    7   79.2 KBytes       
[  4] 10123.00-10124.00 sec  1.90 MBytes  15.9 Mbits/sec    7   74.9 KBytes       
[  4] 10124.00-10125.00 sec  2.14 MBytes  17.9 Mbits/sec    1   93.3 KBytes       
[  4] 10125.00-10126.00 sec  2.14 MBytes  17.9 Mbits/sec    9   79.2 KBytes       
[  4] 10126.00-10127.00 sec  2.14 MBytes  17.9 Mbits/sec    8   73.5 KBytes       
[  4] 10127.00-10128.00 sec  2.38 MBytes  19.9 Mbits/sec    6   66.5 KBytes       
[  4] 10128.00-10129.00 sec  2.08 MBytes  17.4 Mbits/sec    0   87.7 KBytes       
[  4] 10129.00-10130.00 sec  2.32 MBytes  19.4 Mbits/sec    7   80.6 KBytes       
[  4] 10130.00-10131.00 sec   669 KBytes  5.48 Mbits/sec   15   4.24 KBytes       
[  4] 10131.00-10132.00 sec   547 KBytes  4.48 Mbits/sec   39   43.8 KBytes       
